2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
Owen Paterson,CON,LDM,North Shropshire,E14001398,West Midlands,,25.5%,20.8%,29.4%,16.6%,6.5%,,,1.2%,LDM,,3.9%,"2,005",,"13,337","10,865","15,341","8,662","3,384",0,652,,LDM GAIN,,61.7%,22.4%,10.4%,0.0%,3.3%,0.0%,0.0%,2.2%,CON,-36.8%,-1.5%,+19.5%,+16.5%,+3.4%,,,-1.0%
Liam Fox,CON,LAB,North Somerset,E14001399,South West,,24.3%,38.0%,12.0%,17.4%,8.2%,,,0.2%,LAB,,13.7%,"7,759",,"13,837","21,597","6,833","9,873","4,641",0,97,,LAB GAIN,,53.5%,25.0%,16.6%,0.0%,4.9%,0.0%,0.0%,0.0%,CON,-29.5%,+13.0%,-4.0%,+16.9%,+3.4%,,,+0.2%
Craig Tracey,CON,LAB,North Warwickshire and Bedworth,E14001400,West Midlands,,32.4%,37.6%,3.8%,21.2%,4.8%,,,0.1%,LAB,,5.2%,"2,392",,"14,900","17,292","1,728","9,762","2,201",0,57,,LAB GAIN,,65.9%,26.8%,4.5%,0.0%,2.8%,0.0%,0.0%,0.0%,CON,-33.6%,+11.2%,-0.5%,+20.8%,+2.1%,,,+0.1%
Shailesh Vara,CON,LAB,North West Cambridgeshire,E14001401,East of England,,28.4%,34.5%,8.5%,19.4%,9.0%,,,0.1%,LAB,,6.1%,"2,868",,"13,366","16,234","3,999","9,121","4,225",0,57,,LAB GAIN,,60.0%,23.8%,11.0%,0.1%,5.2%,0.0%,0.0%,0.0%,CON,-31.8%,+11.1%,-2.0%,+18.8%,+3.9%,,,+0.1%
Kemi Badenoch,CON,CON,North West Essex,E14001402,East of England,,34.9%,21.4%,21.3%,14.0%,7.3%,,,1.2%,CON,C,13.5%,"7,436",,"19,277","11,841","11,801","7,721","4,015",0,648,,CON HOLD,,61.7%,13.8%,19.7%,0.0%,4.8%,0.0%,0.0%,0.0%,CON,-30.3%,+7.2%,+1.9%,+18.2%,+2.4%,,,+0.6%
Kit Malthouse,CON,CON,North West Hampshire,E14001403,South East,,30.3%,25.4%,18.2%,18.2%,7.5%,,,0.4%,CON,,4.9%,"2,509",,"15,648","13,139","9,429","9,387","3,892",0,187,,CON HOLD,,60.1%,16.9%,18.5%,0.0%,4.6%,0.0%,0.0%,0.0%,CON,-30.0%,+8.5%,+0.6%,+17.5%,+3.0%,,,+0.4%
Andrew Bridgen,CON,LAB,North West Leicestershire,E14001404,East Midlands,,27.5%,33.9%,4.8%,25.0%,8.1%,,,0.7%,LAB,,6.4%,"3,218",,"13,932","17,150","2,448","12,621","4,079",0,345,,LAB GAIN,,62.1%,25.4%,6.9%,0.0%,4.7%,0.0%,0.0%,1.0%,CON,-34.8%,+8.8%,-1.8%,+24.5%,+3.6%,,,-0.3%
James Wild,CON,CON,North West Norfolk,E14001405,East of England,,31.6%,30.5%,7.6%,24.3%,5.8%,,,0.1%,CON,,1.1%,521,,"15,357","14,836","3,678","11,813","2,838",0,58,,CON HOLD,,66.0%,22.6%,7.8%,0.0%,3.5%,0.0%,0.0%,0.0%,CON,-34.2%,+7.9%,+0.1%,+23.7%,+2.4%,,,+0.1%
Michael Ellis,CON,LAB,Northampton North,E14001406,East Midlands,,18.8%,52.0%,4.7%,18.6%,5.4%,,,0.4%,LAB,,33.2%,"16,939",,"9,633","26,572","2,394","9,520","2,767",0,220,,LAB GAIN,x,49.8%,42.1%,5.7%,0.0%,2.5%,0.0%,0.0%,0.0%,CON,-31.1%,+10.0%,-0.8%,+18.3%,+3.1%,,,+0.4%
Andrew Lewer,CON,LAB,Northampton South,E14001407,East Midlands,,26.8%,41.8%,6.1%,18.9%,6.0%,,,0.4%,LAB,,15.0%,"7,472",,"13,293","20,766","3,029","9,400","2,959",0,181,,LAB GAIN,,57.8%,30.9%,7.9%,0.0%,3.4%,0.0%,0.0%,0.0%,CON,-31.2%,+11.1%,-1.6%,+18.5%,+2.7%,,,+0.3%
Chloe Smith,CON,LAB,Norwich North,E14001408,East of England,,21.1%,51.2%,4.7%,17.6%,5.0%,,,0.4%,LAB,,30.1%,"15,177",,"10,637","25,814","2,357","8,897","2,506",0,226,,LAB GAIN,,51.6%,38.9%,6.2%,0.0%,2.3%,0.0%,0.0%,1.0%,CON,-30.7%,+12.4%,-1.2%,+17.2%,+2.8%,,,-0.5%
Clive Lewis,LAB,LAB,Norwich South,E14001409,East of England,,7.8%,60.0%,7.4%,12.5%,11.8%,,,0.7%,LAB,,47.5%,"24,359",,"3,983","30,762","3,789","6,403","6,032",0,342,,LAB HOLD,,29.0%,53.5%,9.5%,3.2%,4.8%,0.0%,0.0%,0.0%,LAB,-21.4%,+6.4%,-1.6%,+8.9%,+7.1%,,,+0.7%
Nadia Whittome,LAB,LAB,Nottingham East,E14001410,East Midlands,,5.5%,69.4%,5.3%,10.6%,8.1%,,,1.2%,LAB,,58.8%,"26,327",,"2,450","31,085","2,371","4,758","3,614",0,542,,LAB HOLD,,20.8%,63.1%,6.3%,3.4%,3.1%,0.0%,0.0%,3.2%,LAB,-15.5%,+6.1%,-0.8%,+6.9%,+5.2%,,,-2.0%
Alex Norris,LAB,LAB,Nottingham North and Kimberley,E14001411,East Midlands,,14.1%,54.2%,3.9%,21.8%,5.7%,,,0.4%,LAB,,32.4%,"13,954",,"6,054","23,326","1,693","9,372","2,465",0,160,,LAB HOLD,x,40.2%,46.0%,3.8%,5.6%,2.5%,0.0%,0.0%,1.9%,LAB,-26.3%,+8.3%,+0.4%,+15.7%,+3.4%,,,-1.5%
Lilian Greenwood,LAB,LAB,Nottingham South,E14001412,East Midlands,,8.1%,59.1%,5.8%,16.4%,9.2%,,,1.4%,LAB,,42.7%,"19,269",,"3,654","26,666","2,617","7,398","4,147",0,631,,LAB HOLD,,31.6%,53.8%,6.7%,4.6%,3.3%,0.0%,0.0%,0.0%,LAB,-23.6%,+5.3%,-0.6%,+11.4%,+6.2%,,,+1.4%
Marcus Jones,CON,LAB,Nuneaton,E14001413,West Midlands,,29.3%,42.4%,3.6%,17.9%,6.6%,,,0.2%,LAB,,13.1%,"5,926",,"13,238","19,163","1,621","8,069","2,974",0,91,,LAB GAIN,,60.6%,31.5%,4.1%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-31.5%,+11.3%,-0.4%,+17.4%,+3.0%,,,+0.2%
James Brokenshire,CON,CON,Old Bexley and Sidcup,E14001414,Greater London,,38.8%,32.4%,4.5%,18.1%,5.1%,,,1.2%,CON,,6.4%,"3,301",,"20,106","16,806","2,312","9,371","2,655",0,624,,CON HOLD,,63.9%,23.9%,8.3%,0.0%,3.5%,0.0%,0.0%,0.4%,CON,-25.9%,+8.9%,-3.7%,+18.3%,+1.7%,,,+0.7%
Debbie Abrahams,LAB,LAB,Oldham East and Saddleworth,E14001415,North West,,14.7%,50.6%,5.2%,23.2%,4.3%,,,2.0%,LAB,,27.4%,"12,631",,"6,800","23,322","2,392","10,691","1,986",0,943,,LAB HOLD,x,40.3%,43.5%,5.3%,6.5%,1.7%,0.0%,0.0%,2.8%,LAB,-25.7%,+7.2%,+0.2%,+16.2%,+2.8%,,,-0.8%
Jim McMahon,LAB,LAB,"Oldham West, Chadderton and Royton",E14001416,North West,,8.3%,59.9%,3.6%,20.6%,4.3%,,,3.4%,LAB,,39.3%,"17,457",,"3,669","26,610","1,582","9,153","1,932",0,"1,490",,LAB HOLD,,30.3%,55.3%,3.3%,7.5%,1.5%,0.0%,0.0%,2.1%,LAB,-22.1%,+4.8%,+0.4%,+12.6%,+3.0%,,,+1.3%
Gareth Bacon,CON,CON,Orpington,E14001417,Greater London,,42.9%,25.3%,10.0%,15.2%,6.2%,,,0.3%,CON,,17.6%,"8,607",,"21,008","12,401","4,916","7,433","3,054",0,143,,CON HOLD,,61.9%,19.8%,14.6%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-19.4%,+5.1%,-4.0%,+15.5%,+2.5%,,,+0.3%
Imran Ahmad-Khan,CON,LAB,Ossett and Denby Dale,E14001418,Yorkshire and the Humber,,26.8%,47.2%,3.9%,17.3%,3.7%,,,1.0%,LAB,,20.4%,"9,929",,"13,030","22,959","1,890","8,429","1,801",0,504,,LAB GAIN,,53.9%,31.2%,4.9%,5.1%,1.2%,0.0%,0.0%,3.7%,CON,-27.7%,+16.2%,-0.8%,+12.5%,+2.7%,,,-2.9%
Anneliese Dodds,LAB,LAB,Oxford East,E14001419,South East,,9.5%,63.2%,11.4%,,12.4%,,,3.5%,LAB,,50.8%,"23,161",,"4,316","28,807","5,215",0,"5,646",0,"1,611",,LAB HOLD,,21.5%,56.5%,14.0%,2.3%,4.7%,0.0%,0.0%,1.1%,LAB,-12.3%,+6.5%,-2.2%,-2.3%,+7.9%,,,+2.4%
Layla Moran,LDM,LDM,Oxford West and Abingdon,E14001420,South East,,9.2%,17.7%,51.1%,12.2%,8.7%,,,1.2%,LDM,,33.4%,"17,649",,"4,855","9,375","27,024","6,456","4,578",0,635,,LDM HOLD,,34.1%,11.8%,52.2%,1.5%,0.5%,0.0%,0.0%,0.0%,LDM,-25.2%,+5.9%,-0.6%,+10.3%,+8.3%,,,+1.2%
Harriet Harman,LAB,LAB,Peckham,E14001421,Greater London,,6.1%,69.9%,5.7%,5.7%,11.6%,,,1.0%,LAB,,58.3%,"25,962",,"2,705","31,152","2,528","2,528","5,190",0,453,,LAB HOLD,,11.2%,70.8%,10.4%,2.3%,5.0%,0.0%,0.0%,0.3%,LAB,-5.1%,-1.7%,-4.2%,+3.2%,+7.0%,,,+0.9%
Andrew Stephenson,CON,LAB,Pendle and Clitheroe,E14001422,North West,,25.4%,42.5%,6.0%,21.6%,4.1%,,,0.5%,LAB,,17.1%,"8,270",,"12,314","20,584","2,909","10,451","1,976",0,238,,LAB GAIN,,56.9%,33.1%,7.3%,0.0%,2.1%,0.0%,0.0%,0.6%,CON,-31.7%,+9.6%,-1.0%,+21.1%,+2.1%,,,-0.1%
Miriam Cates,CON,LAB,Penistone and Stocksbridge,E14001423,Yorkshire and the Humber,,21.8%,43.1%,7.6%,23.3%,4.1%,,,0.1%,LAB,,19.8%,"9,773",,"10,789","21,333","3,767","11,560","2,028",0,58,,LAB GAIN,,47.8%,33.3%,10.2%,8.7%,0.0%,0.0%,0.0%,0.0%,CON,-26.4%,+10.1%,-2.2%,+14.2%,+4.2%,,,+0.1%
Mark Jenkinson,CON,LAB,Penrith and Solway,E14001424,North West,,24.4%,39.7%,6.9%,22.7%,5.7%,,,0.7%,LAB,,15.3%,"8,572",,"13,588","22,161","3,849","12,635","3,164",0,378,,LAB GAIN,,54.8%,30.2%,8.2%,1.8%,3.1%,0.0%,0.0%,2.0%,CON,-30.7%,+9.7%,-0.9%,+20.4%,+2.7%,,,-1.3%
Paul Bristow,CON,LAB,Peterborough,E14001425,East of England,,20.0%,50.2%,4.7%,20.3%,4.2%,,,0.5%,LAB,,29.9%,"14,141",,"9,474","23,749","2,230","9,609","1,965",0,240,,LAB GAIN,x,46.5%,41.5%,4.9%,4.5%,1.5%,0.0%,0.0%,1.1%,CON,-26.6%,+9.0%,+0.1%,+15.4%,+2.8%,,,-0.6%
Johnny Mercer,CON,LAB,Plymouth Moor View,E14001426,South West,,27.8%,42.7%,3.9%,20.3%,5.2%,,,0.1%,LAB,,14.9%,"7,170",,"13,393","20,563","1,872","9,769","2,479",0,60,,LAB GAIN,,59.8%,32.3%,5.1%,0.2%,2.6%,0.0%,0.0%,0.0%,CON,-32.2%,+10.1%,-1.0%,+20.0%,+2.9%,,,+0.1%
Luke Pollard,LAB,LAB,Plymouth Sutton and Devonport,E14001427,South West,,12.5%,59.2%,4.3%,16.4%,7.3%,,,0.4%,LAB,,42.8%,"21,050",,"6,133","29,132","2,121","8,083","3,570",0,203,,LAB HOLD,,38.0%,48.4%,4.9%,5.7%,3.0%,0.0%,0.0%,0.0%,LAB,-25.7%,+10.9%,-0.4%,+10.3%,+4.5%,,,+0.4%
Yvette Cooper,LAB,LAB,"Pontefract, Castleford and Knottingley",E14001428,Yorkshire and the Humber,,12.9%,49.1%,5.8%,27.0%,4.6%,,,0.6%,LAB,,22.1%,"9,103",,"5,310","20,256","2,375","11,154","1,888",0,266,,LAB HOLD,x,35.6%,38.2%,6.8%,15.8%,0.0%,0.0%,0.0%,3.7%,LAB,-22.9%,+11.1%,-0.7%,+10.8%,+4.7%,,,-3.0%
Robert Syms,CON,LAB,Poole,E14001429,South West,,28.7%,31.1%,13.0%,20.2%,6.1%,,,0.8%,LAB,,2.4%,"1,200",,"13,986","15,186","6,356","9,874","2,984",0,396,,LAB GAIN,,58.8%,20.7%,15.4%,0.0%,3.4%,0.0%,0.0%,1.7%,CON,-30.4%,+10.4%,-1.8%,+19.8%,+2.8%,,,-0.9%
Apsana Begum,LAB,LAB,Poplar and Limehouse,E14001430,Greater London,,8.9%,61.5%,8.8%,7.9%,9.2%,,,3.7%,LAB,,52.3%,"27,028",,"4,596","31,758","4,554","4,093","4,730",0,"1,898",,LAB HOLD,,17.7%,60.3%,15.5%,2.4%,3.4%,0.0%,0.0%,0.7%,LAB,-8.8%,+1.4%,-6.4%,+5.4%,+6.0%,,,+2.5%
Penny Mordaunt,CON,LAB,Portsmouth North,E14001431,South East,,31.0%,37.0%,6.1%,20.4%,5.2%,,,0.3%,LAB,C,6.0%,"2,787",,"14,217","17,004","2,821","9,380","2,365",0,122,,LAB GAIN,,61.4%,27.0%,7.5%,0.0%,2.8%,0.0%,0.0%,1.4%,CON,-30.2%,+10.2%,-1.0%,+19.5%,+2.6%,,,-1.1%
Stephen Morgan,LAB,LAB,Portsmouth South,E14001432,South East,,10.1%,57.5%,9.5%,15.5%,6.5%,,,0.9%,LAB,,42.0%,"19,959",,"4,790","27,296","4,513","7,336","3,061",0,450,,LAB HOLD,,37.3%,48.6%,11.4%,2.1%,0.0%,0.0%,0.0%,0.5%,LAB,-27.4%,+8.9%,-1.5%,+12.9%,+6.7%,,,+0.5%
Mark Hendrick,LAB,LAB,Preston,E14001433,North West,,7.7%,61.7%,6.3%,16.7%,5.6%,,,1.9%,LAB,,45.0%,"19,379",,"3,317","26,598","2,730","7,219","2,409",0,838,,LAB HOLD,,29.8%,57.3%,6.8%,4.2%,2.0%,0.0%,0.0%,0.0%,LAB,-22.2%,+4.4%,-0.1%,+12.1%,+3.8%,,,+1.9%
Fleur Anderson,LAB,LAB,Putney,E14001434,Greater London,,22.0%,52.1%,10.4%,8.3%,6.6%,,,0.6%,LAB,,30.1%,"16,700",,"12,199","28,899","5,798","4,617","3,685",0,314,,LAB HOLD,x,36.4%,44.3%,16.9%,0.1%,2.3%,0.0%,0.0%,0.0%,LAB,-14.6%,+7.7%,-6.2%,+8.1%,+4.4%,,,+0.6%
Karen Buck,LAB,LAB,Queen's Park and Maida Vale,E14001435,Greater London,,9.9%,63.0%,8.5%,8.0%,9.2%,,,1.3%,LAB,,53.1%,"23,781",,"4,437","28,218","3,804","3,594","4,142",0,582,,LAB HOLD,,19.8%,61.9%,13.9%,0.9%,3.2%,0.0%,0.0%,0.3%,LAB,-9.9%,-0.5%,-4.9%,+7.4%,+6.8%,,,+1.0%
John Healey,LAB,LAB,Rawmarsh and Conisbrough,E14001436,Yorkshire and the Humber,,13.8%,50.3%,3.4%,27.4%,4.6%,,,0.6%,LAB,,22.9%,"9,254",,"5,591","20,376","1,373","11,122","1,851",0,235,,LAB HOLD,x,37.0%,40.1%,3.7%,16.1%,0.5%,0.0%,0.0%,2.7%,LAB,-23.4%,+10.4%,-0.1%,+10.9%,+4.3%,,,-2.1%
Mark Francois,CON,CON,Rayleigh and Wickford,E14001437,East of England,,37.8%,25.4%,7.5%,22.9%,6.4%,,,0.1%,CON,,12.4%,"6,589",,"20,017","13,428","3,958","12,107","3,387",0,63,,CON HOLD,,72.9%,15.7%,7.7%,0.0%,3.7%,0.0%,0.0%,0.0%,CON,-35.6%,+10.0%,-0.1%,+22.4%,+3.2%,,,+0.1%
Matt Rodda,LAB,LAB,Reading Central,E14001438,South East,,10.7%,61.1%,6.4%,12.4%,8.8%,,,0.6%,LAB,,48.7%,"25,135",,"5,516","31,508","3,287","6,374","4,538",0,314,,LAB HOLD,,36.4%,52.6%,6.4%,1.1%,3.1%,0.0%,0.0%,0.4%,LAB,-25.9%,+8.6%,+0.3%,+10.9%,+5.8%,,,+0.2%
Alok Sharma,CON,LAB,Reading West and Mid Berkshire,E14001439,South East,,27.2%,35.8%,13.0%,17.2%,6.2%,,,0.6%,LAB,,8.6%,"4,228",,"13,452","17,680","6,412","8,511","3,088",0,276,,LAB GAIN,,56.8%,22.9%,16.9%,0.0%,3.4%,0.0%,0.0%,0.0%,CON,-30.0%,+13.0%,-3.4%,+16.8%,+3.0%,,,+0.6%
Jacob Young,CON,LAB,Redcar,E14001440,North East,,20.3%,46.4%,4.1%,24.9%,3.4%,,,0.7%,LAB,,21.5%,"9,621",,"9,092","20,774","1,848","11,154","1,543",0,314,,LAB GAIN,,47.5%,36.6%,4.8%,6.5%,1.6%,0.0%,0.0%,3.0%,CON,-27.5%,+10.1%,-0.4%,+18.2%,+2.0%,,,-2.3%
Rachel Maclean,CON,LAB,Redditch,E14001441,West Midlands,,32.9%,38.3%,5.2%,18.3%,5.1%,,,0.2%,LAB,,5.4%,"2,571",,"15,597","18,167","2,480","8,701","2,434",0,98,,LAB GAIN,,64.7%,25.9%,6.4%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-32.0%,+12.7%,-0.9%,+17.8%,+2.2%,,,+0.2%
Crispin Blunt,CON,CON,Reigate,E14001442,South East,,28.0%,23.9%,21.1%,16.6%,10.0%,,,0.4%,CON,,4.1%,"2,162",,"14,952","12,790","11,289","8,867","5,354",0,198,,CON HOLD,,55.8%,16.9%,19.9%,0.0%,5.8%,0.0%,0.0%,1.6%,CON,-28.3%,+7.0%,+2.0%,+16.2%,+4.4%,,,-1.2%
Nigel Evans,CON,LAB,Ribble Valley,E14001443,North West,,29.2%,39.4%,6.3%,19.5%,5.0%,,,0.7%,LAB,,10.2%,"5,311",,"15,234","20,544","3,273","10,169","2,633",0,353,,LAB GAIN,,59.8%,27.6%,8.0%,0.0%,2.8%,0.0%,0.0%,1.7%,CON,-30.9%,+12.0%,-1.4%,+19.0%,+2.3%,,,-1.0%
Rishi Sunak,CON,CON,Richmond and Northallerton,E14001444,Yorkshire and the Humber,,33.8%,27.1%,11.3%,20.7%,6.3%,,,0.8%,CON,C,6.7%,"3,508",,"17,540","14,032","5,863","10,749","3,280",0,403,,CON HOLD,,63.3%,16.4%,12.5%,0.0%,3.8%,0.0%,0.0%,3.9%,CON,-29.9%,+10.8%,-0.6%,+20.2%,+2.6%,,,-3.2%
Sarah Olney,LDM,LDM,Richmond Park,E14001445,Greater London,,23.5%,7.4%,49.9%,10.4%,8.0%,,,0.9%,LDM,,26.4%,"15,596",,"13,854","4,349","29,450","6,147","4,710",0,543,,LDM HOLD,,40.6%,5.3%,53.7%,0.0%,0.0%,0.0%,0.0%,0.5%,LDM,-17.3%,+2.1%,-3.5%,+10.2%,+8.1%,,,+0.4%
Tony Lloyd,LAB,LAB,Rochdale,E14001446,North West,,9.6%,41.6%,6.7%,18.5%,4.7%,,,18.9%,LAB,,23.1%,"9,565",,"4,035","17,522","2,827","7,786","1,961",0,"7,956",,LAB HOLD,,31.6%,50.8%,7.5%,8.2%,1.9%,0.0%,0.0%,0.0%,LAB,-22.2%,-8.8%,-0.5%,+10.3%,+3.1%,,,+18.1%
Kelly Tolhurst,CON,LAB,Rochester and Strood,E14001447,South East,,27.4%,38.9%,6.1%,21.6%,5.1%,,,0.7%,LAB,,11.5%,"5,132",,"12,253","17,385","2,738","9,654","2,300",0,334,,LAB GAIN,,58.5%,28.1%,7.1%,0.0%,2.6%,0.0%,0.0%,3.7%,CON,-31.3%,+11.2%,-0.7%,+21.1%,+2.7%,,,-3.0%
Andrew Rosindell,CON,CON,Romford,E14001448,Greater London,,43.0%,30.8%,3.3%,16.4%,5.9%,,,0.6%,CON,,12.2%,"5,945",,"20,821","14,876","1,613","7,936","2,845",0,276,,CON HOLD,,64.8%,26.4%,5.8%,0.0%,3.0%,0.0%,0.0%,0.0%,CON,-21.9%,+4.6%,-2.3%,+16.0%,+2.9%,,,+0.6%
Caroline Nokes,CON,LDM,Romsey and Southampton North,E14001449,South East,,32.0%,16.1%,33.4%,14.5%,3.3%,,,0.7%,LDM,,1.4%,767,,"17,524","8,794","18,291","7,952","1,791",0,357,,LDM GAIN,,57.9%,12.1%,28.1%,0.0%,0.7%,0.0%,0.0%,1.2%,CON,-25.7%,+4.1%,+5.4%,+14.0%,+2.7%,,,-0.5%
Jake Berry,CON,LAB,Rossendale and Darwen,E14001450,North West,,23.9%,46.9%,3.3%,21.0%,4.6%,,,0.2%,LAB,,23.0%,"11,473",,"11,947","23,420","1,663","10,478","2,295",0,99,,LAB GAIN,,56.4%,36.6%,4.2%,0.4%,2.5%,0.0%,0.0%,0.0%,CON,-32.5%,+10.5%,-0.6%,+20.2%,+2.3%,,,+0.2%
Alexander Stafford,CON,LAB,Rother Valley,E14001451,Yorkshire and the Humber,,23.2%,42.9%,4.0%,24.6%,4.9%,,,0.4%,LAB,,18.3%,"8,289",,"10,549","19,498","1,838","11,208","2,221",0,165,,LAB GAIN,,46.1%,32.6%,4.8%,11.7%,2.5%,0.0%,0.0%,2.3%,CON,-22.4%,+9.6%,-0.5%,+12.6%,+2.6%,,,-1.9%
Sarah Champion,LAB,LAB,Rotherham,E14001452,Yorkshire and the Humber,,,50.7%,7.1%,35.4%,5.4%,,,1.4%,LAB,,15.3%,"6,666",,0,"22,080","3,073","15,414","2,373",0,609,,LAB HOLD,x,33.1%,40.7%,6.2%,17.0%,0.1%,0.0%,0.0%,2.9%,LAB,-33.1%,+10.2%,+1.0%,+17.8%,+5.5%,,,-1.5%
Mark Pawsey,CON,LAB,Rugby,E14001453,West Midlands,,28.2%,42.3%,7.0%,16.5%,5.6%,,,0.4%,LAB,,14.1%,"7,213",,"14,394","21,607","3,594","8,420","2,881",0,217,,LAB GAIN,,57.3%,31.1%,8.3%,0.0%,3.3%,0.0%,0.0%,0.0%,CON,-29.4%,+11.3%,-0.9%,+16.1%,+2.5%,,,+0.4%
David Simmonds,CON,CON,"Ruislip, Northwood and Pinner",E14001454,Greater London,,40.8%,32.9%,8.8%,11.9%,5.2%,,,0.5%,CON,,7.9%,"4,127",,"21,295","17,168","4,602","6,224","2,708",0,252,,CON HOLD,,55.3%,25.1%,15.2%,0.1%,2.6%,0.0%,0.0%,1.7%,CON,-14.2%,+7.5%,-6.2%,+11.4%,+2.7%,,,-1.2%
Mike Amesbury,LAB,LAB,Runcorn and Helsby,E14001455,North West,,10.4%,57.8%,5.4%,19.7%,6.1%,,,0.5%,LAB,,38.1%,"18,449",,"5,026","27,991","2,604","9,541","2,972",0,254,,LAB HOLD,,36.8%,48.8%,6.7%,4.8%,2.9%,0.0%,0.0%,0.0%,LAB,-26.6%,+9.1%,-1.0%,+14.6%,+3.4%,,,+0.5%
Ben Spencer,CON,CON,Runnymede and Weybridge,E14001456,South East,,27.3%,22.9%,27.0%,16.7%,5.2%,,,0.7%,CON,,0.3%,153,,"14,402","12,074","14,249","8,822","2,747",0,383,,LDM GAIN,,53.2%,17.8%,22.7%,0.0%,2.7%,0.0%,0.0%,3.7%,CON,-26.3%,+5.0%,+5.0%,+16.4%,+2.7%,,,-2.9%
Ruth Edwards,CON,LAB,Rushcliffe,E14001457,East Midlands,,19.9%,47.9%,10.7%,15.8%,5.1%,,,0.6%,LAB,,28.0%,"16,680",,"11,815","28,495","6,394","9,384","3,063",0,337,,LAB GAIN,,47.3%,35.0%,16.0%,0.0%,0.0%,0.0%,0.0%,1.7%,CON,-27.9%,+13.0%,-4.7%,+15.4%,+5.3%,,,-1.2%
Alicia Kearns,CON,CON,Rutland and Stamford,E14001458,East Midlands,,32.9%,22.2%,16.5%,21.8%,5.8%,,,0.8%,CON,,10.7%,"5,764",,"17,682","11,919","8,875","11,733","3,128",0,449,,CON HOLD,,63.3%,14.7%,15.8%,0.0%,3.6%,0.0%,0.0%,2.6%,CON,-30.8%,+7.6%,+1.3%,+21.3%,+2.3%,,,-1.8%
Rebecca Long-Bailey,LAB,LAB,Salford,E14001459,North West,,5.7%,62.7%,5.7%,15.4%,9.6%,,,1.0%,LAB,,47.3%,"19,737",,"2,362","26,191","2,367","6,453","4,002",0,411,,LAB HOLD,,23.3%,57.4%,6.2%,8.9%,4.3%,0.0%,0.0%,0.0%,LAB,-17.8%,+5.2%,-0.2%,+6.2%,+5.6%,,,+1.0%
John Glen,CON,LAB,Salisbury,E14001460,South West,,26.7%,26.9%,21.0%,16.9%,7.8%,,,0.7%,LAB,,0.2%,102,,"14,092","14,194","11,054","8,906","4,127",0,378,,LAB GAIN,,55.3%,18.7%,19.5%,0.0%,5.1%,0.0%,0.0%,1.4%,CON,-29.4%,+8.0%,+3.0%,+16.2%,+2.9%,,,-0.7%
Robert Goodwill,CON,LAB,Scarborough and Whitby,E14001461,Yorkshire and the Humber,,24.8%,44.0%,5.1%,21.5%,4.0%,,,0.7%,LAB,,19.2%,"9,532",,"12,322","21,854","2,520","10,687","1,964",0,362,,LAB GAIN,,55.5%,34.8%,6.1%,0.0%,0.0%,0.0%,0.0%,3.6%,CON,-30.3%,+9.1%,-0.8%,+20.8%,+4.1%,,,-2.9%
Holly Mumby-Croft,CON,LAB,Scunthorpe,E14001462,Yorkshire and the Humber,,25.0%,43.6%,2.8%,24.5%,3.7%,,,0.4%,LAB,,18.6%,"8,761",,"11,828","20,589","1,334","11,552","1,737",0,201,,LAB GAIN,,56.3%,34.9%,2.6%,4.3%,1.8%,0.0%,0.0%,0.0%,CON,-31.5%,+9.0%,+0.4%,+19.8%,+2.0%,,,+0.4%
Bill Esterson,LAB,LAB,Sefton Central,E14001463,North West,,9.8%,62.2%,5.6%,16.4%,5.4%,,,0.6%,LAB,,45.8%,"26,160",,"5,624","35,513","3,210","9,353","3,089",0,317,,LAB HOLD,,34.3%,52.6%,6.6%,3.7%,2.1%,0.0%,0.0%,0.7%,LAB,-24.7%,+9.7%,-0.7%,+12.4%,+3.5%,,,-0.2%
Nigel Adams,CON,LAB,Selby,E14001464,Yorkshire and the Humber,,27.2%,45.4%,4.4%,17.2%,5.2%,,,0.4%,LAB,,18.2%,"9,580",,"14,375","23,954","2,345","9,105","2,770",0,232,,LAB GAIN,,58.0%,29.8%,6.0%,0.0%,3.0%,0.0%,0.0%,3.2%,CON,-31.5%,+15.7%,-1.3%,+17.4%,+2.4%,,,-2.7%
Laura Trott,CON,CON,Sevenoaks,E14001465,South East,,33.1%,19.8%,22.2%,18.3%,5.8%,,,0.8%,CON,,10.9%,"5,593",,"17,030","10,219","11,437","9,427","2,984",0,409,,CON HOLD,,61.7%,13.5%,19.4%,0.0%,3.4%,0.0%,0.0%,1.9%,CON,-29.1%,+6.6%,+3.4%,+17.8%,+2.5%,,,-1.1%
Gill Furniss,LAB,LAB,Sheffield Brightside and Hillsborough,E14001466,Yorkshire and the Humber,,15.8%,64.9%,6.2%,,9.6%,,,3.5%,LAB,,49.1%,"19,816",,"6,366","26,182","2,495",0,"3,883",0,"1,418",,LAB HOLD,,25.4%,56.6%,3.9%,9.7%,3.0%,0.0%,0.0%,1.5%,LAB,-10.0%,+8.4%,+2.5%,-9.7%,+6.8%,,,+2.0%
